ym,year,month,upi_volume_cr,upi_value_cr,national_gdp,ln_upi_volume,ln_upi_value,ln_gdp
2021-06,2021,6,280.752,547373.16,2472152.7246411773,5.63747171736878,13.21288604259999,14.720599877464075
2021-07,2021,7,324.78200000000004,605883.2,2472152.7246411773,5.783154188032637,13.314442507200923,14.720599877464075
2021-08,2021,8,355.555,639116.95,2472152.7246411773,5.873679948950378,13.36784273695778,14.720599877464075
2021-09,2021,9,365.43,654648.28,2472152.7246411773,5.901074742379977,13.391853393294317,14.720599877464075
2021-10,2021,10,421.864,771406.99,2472152.7246411773,6.044682987212785,13.55597138616193,14.720599877464075
2021-11,2021,11,418.648,768436.09,2472152.7246411773,6.037030471378788,13.552112676498732,14.720599877464075
2021-12,2021,12,456.63,826848.23,2472152.7246411773,6.123873434959685,13.62537643842176,14.720599877464075
2022-01,2022,1,461.716,831993.09,2757628.1565690013,6.134949983450067,13.631579414480395,14.829881504666826
2022-02,2022,2,452.749,826843.02,2757628.1565690013,6.115337888036622,13.62537013736647,14.829881504666826
2022-03,2022,3,540.5649999999999,960581.67,2757628.1565690013,6.292614888868153,13.775294286206941,14.829881504666826
2022-06,2022,6,586.275,1014412.63,2757628.1565690013,6.373788962774504,13.829820313297368,14.829881504666826
2022-07,2022,7,628.8399999999999,1063117.04,2757628.1565690013,6.443876852323313,13.876715754743856,14.829881504666826
2022-08,2022,8,657.963,1073162.17,2757628.1565690013,6.489148698741255,13.886120147191859,14.829881504666826
2022-09,2022,9,678.08,1116438.09,2757628.1565690013,6.519265275079935,13.925653898657764,14.829881504666826
2022-10,2022,10,730.542,1211587.5,2757628.1565690013,6.593786724404517,14.007442041145717,14.829881504666826
2022-11,2022,11,730.946,1190593.39,2757628.1565690013,6.594339585612123,13.989962387863406,14.829881504666826
2022-12,2022,12,782.949,1281970.86,2757628.1565690013,6.6630675597698685,14.063909186095215,14.829881504666826
2023-01,2023,1,803.6890000000001,1299058.78,3104297.797437928,6.689212378425992,14.077150544821434,14.948298095579549
2023-02,2023,2,753.476,1235846.58,3104297.797437928,6.624697166198966,14.027266783081885,14.948298095579549
2023-03,2023,3,868.53,1404950.59,3104297.797437928,6.766802127398923,14.155512692871815,14.948298095579549
2023-06,2023,6,933.506,1475464.26,3104297.797437928,6.838947390384796,14.20448325077424,14.948298095579549
2023-07,2023,7,996.426,1533536.44,3104297.797437928,6.904174876985762,14.243087024888613,14.948298095579549
2023-08,2023,8,1058.602,1576536.54,3104297.797437928,6.964704448709841,14.270740935624433,14.948298095579549
2023-09,2023,9,1055.569,1579133.18,3104297.797437928,6.961835237013405,14.27238663420283,14.948298095579549
2023-10,2023,10,1140.879,1715768.34,3104297.797437928,7.039554296911754,14.355371549916725,14.948298095579549
2023-11,2023,11,1123.529,1739740.61,3104297.797437928,7.024229903486291,14.369246585365328,14.948298095579549
2023-12,2023,12,1202.023,1822949.45,3104297.797437928,7.09176124968746,14.415966324258243,14.948298095579549
2024-01,2024,1,1220.302,1841083.97,3303118.904427187,7.106853648077695,14.425865070255995,15.010377702643295
2024-02,2024,2,1210.267,1827869.35,3303118.904427187,7.098596275405719,14.41866155688841,15.010377702643295
2024-03,2024,3,1344.0,1978353.23,3303118.904427187,7.203405521083095,14.4977753545945,15.010377702643295
2024-06,2024,6,1388.514,2007081.2,3303118.904427187,7.235989389519213,14.512192085355672,15.010377702643295
2024-07,2024,7,1443.5549999999998,2064292.41,3303118.904427187,7.274864100212949,14.540298067060757,15.010377702643295
2024-08,2024,8,1496.3049999999998,2060735.57,3303118.904427187,7.310754014759678,14.538573549845971,15.010377702643295
2024-09,2024,9,1504.175,2063994.71,3303118.904427187,7.315999854123885,14.54015384259581,15.010377702643295
2024-10,2024,10,1658.497,2349821.46,3303118.904427187,7.41366704952204,14.66984990876605,15.010377702643295
2024-11,2024,11,1548.202,2155187.41,3303118.904427187,7.34484953659254,14.583388242935948,15.010377702643295
2024-12,2024,12,1673.0009999999995,2324699.94,3303118.904427187,7.422374298715276,14.65910153061037,15.010377702643295
